Start,End,Sleep Quality,Regularity,Heart rate (bpm),Steps,Alarm mode,Air Pressure (Pa),City,Movements per hour,Time in bed (seconds),Time asleep (seconds),Time before sleep (seconds),Window start,Window stop,Did snore,Snore time,Weather temperature (°C),Weather type
2017-03-07 01:43:40,2017-03-07 10:06:49,86%,0%,0,11528,No alarm,100.8,,22.6,30188.7,29987.5,201.3,,,FALSE,0.0,0.0,No weather
2017-03-08 03:09:40,2017-03-08 10:59:40,69%,0%,75,2768,Normal,99.8,,63.3,28199.9,24722.0,188.0,2017-03-08 10:30:00,2017-03-08 11:00:00,FALSE,0.0,0.0,No weather
2017-03-09 02:40:35,2017-03-09 11:00:00,76%,96%,79,2304,Normal,100.6,Bangor,43.6,29964.3,25369.8,199.8,2017-03-09 10:30:00,2017-03-09 11:00:00,FALSE,0.0,9.5,Partly cloudy
2017-03-10 02:41:21,2017-03-10 08:30:10,55%,88%,55,1995,Normal,101.5,Bangor,42.6,20929.2,17092.2,1813.9,2017-03-10 08:00:00,2017-03-10 08:30:00,FALSE,0.0,8.8,Cloudy
2017-03-11 01:59:12,2017-03-11 12:05:50,86%,80%,76,2497,No alarm,99.9,Birmingham,43.8,36398.2,32030.4,242.7,,,FALSE,0.0,0.0,No weather
2017-03-12 05:26:08,2017-03-12 11:01:01,62%,69%,66,1590,Normal,100.4,Bangor,30.7,20093.7,16945.7,1540.5,2017-03-12 10:30:00,2017-03-12 11:00:00,FALSE,0.0,8.2,Rain
2017-03-13 02:25:59,2017-03-13 10:59:51,85%,67%,63,223,Normal,101.8,Bangor,32.7,30832.0,24254.5,205.5,2017-03-13 10:30:00,2017-03-13 11:00:00,FALSE,0.0,10.3,Partly cloudy
2017-03-14 03:28:54,2017-03-14 08:42:49,54%,70%,82,2920,Normal,100.9,Birmingham,41.9,18834.5,12744.7,3766.9,2017-03-14 08:15:00,2017-03-14 08:45:00,FALSE,0.0,9.6,Cloudy
2017-03-15 01:45:15,2017-03-15 08:30:41,66%,77%,76,8985,Normal,101.3,Birmingham,47.2,24325.5,21649.7,1783.9,2017-03-15 08:00:00,2017-03-15 08:30:00,FALSE,0.0,8.4,Sunny
2017-03-16 00:50:43,2017-03-16 07:59:43,72%,81%,75,3993,Normal,100.6,Birmingham,42.8,25739.5,22136.0,171.6,2017-03-16 07:30:00,2017-03-16 08:00:00,FALSE,0.0,7.1,Cloudy
2017-03-17 03:17:14,2017-03-17 10:20:22,61%,77%,85,1482,Normal,99.9,Birmingham,153.6,25387.9,22679.8,1777.2,2017-03-17 10:00:00,2017-03-17 10:30:00,FALSE,0.0,8.8,Cloudy
2017-03-21 00:13:20,2017-03-21 08:28:47,87%,0%,63,4062,Normal,98.3,Birmingham,42.5,29727.5,25169.3,2080.9,2017-03-21 08:00:00,2017-03-21 08:30:00,FALSE,0.0,4.7,Fair
2017-03-22 02:14:49,2017-03-22 08:30:00,66%,83%,63,7222,Normal,98.2,Birmingham,46.6,22511.4,20560.5,150.1,2017-03-22 08:00:00,2017-03-22 08:30:00,FALSE,0.0,4.7,Rain
2017-03-23 01:43:09,2017-03-23 08:30:13,74%,89%,71,6376,Normal,99.2,Birmingham,34.4,24423.6,19783.1,162.8,2017-03-23 08:00:00,2017-03-23 08:30:00,FALSE,0.0,6.4,Rain
2017-03-24 01:40:50,2017-03-24 08:53:46,70%,92%,70,3094,Normal,100.6,Birmingham,73.4,25975.7,21126.9,1904.9,2017-03-24 08:25:00,2017-03-24 08:55:00,FALSE,0.0,6.7,Cloudy
2017-03-26 03:25:24,2017-03-26 09:00:18,54%,91%,0,23666,Normal,101.7,Berlin,75.4,20094.7,17214.5,134.0,2017-03-26 08:50:00,2017-03-26 09:20:00,FALSE,0.0,7.6,Partly cloudy
2017-03-27 01:47:50,2017-03-27 06:00:16,49%,78%,76,18518,Normal,101.9,Berlin,19.8,15145.5,13075.7,2069.9,2017-03-27 06:30:00,2017-03-27 07:00:00,FALSE,0.0,2.9,Fair
2017-03-29 01:47:22,2017-03-29 08:45:17,76%,69%,73,14637,Normal,99.7,Birmingham,36.2,25074.4,19808.8,167.2,2017-03-29 08:15:00,2017-03-29 08:45:00,FALSE,0.0,10.9,Cloudy
2017-03-30 00:39:11,2017-03-30 08:40:06,74%,79%,78,4144,Normal,99.8,Birmingham,83.3,28855.2,25585.0,2019.9,2017-03-30 08:15:00,2017-03-30 08:45:00,FALSE,0.0,11.4,Cloudy
2017-03-30 23:47:45,2017-03-31 08:43:32,91%,91%,68,6509,Normal,99.1,Birmingham,60.3,32146.7,27967.6,4179.1,2017-03-31 08:15:00,2017-03-31 08:45:00,FALSE,0.0,10.6,Rain
